;6;8;10;12;14;16;20
0;0;0;0;0;0;0;0
52;4.23;4.99;5.46;5.68;5.75;5.77;5.72
60;4.51;5.26;5.63;5.84;5.94;5.98;5.96
75;4.74;5.45;5.78;6;6.2;6.34;6.42
90;4.73;5.57;5.96;6.22;6.36;6.6;6.97
110;4.83;5.66;6.07;6.47;6.87;7.2;7.59
120;4.71;5.59;6.02;6.43;6.88;7.33;8.2
135;4.32;5.28;5.83;6.2;6.62;7.07;8.17
150;3.74;4.66;5.37;5.76;6.02;6.3;6.95 
