;6;8;10;12;14;16;20
0;0;0;0;0;0;0;0
52;7.6;8.79;9.4;9.77;10.03;10.24;10.78
60;8.08;9.06;9.8;10.27;10.58;10.8;11.49
75;8.51;9.42;10.35;11.17;11.64;12;12.86
90;8.7;9.78;10.72;11.45;12.48;13.11;13.98
110;8.5;9.61;10.93;12.11;13.21;14.12;15.88
120;8.12;9.27;10.45;11.94;13.45;14.6;16.85
135;6.95;8.56;9.51;10.66;12.13;13.85;17.75
150;5.73;7.25;8.44;9.38;10.25;11.5;15.16 
